n,optimum,elapsed
10,222.0,0.039
16,427.0,0.039
26,642.0,0.017
43,1008.0,0.016
70,1825.0,0.036
113,2853.0,0.019
183,4714.0,0.026
298,7945.0,0.02
483,12680.0,0.029
785,20659.0,0.034
1274,33741.0,0.037
2069,54820.0,0.139
3360,89087.0,0.115
5456,144802.0,0.209
8859,235022.0,0.318
14384,381497.0,0.521
23357,619592.0,0.843
37927,1.006077e6,1.603
61585,1.633707e6,3.348
100000,2.652926e6,8.033
