n,optimum,elapsed
10,222.0,0.017
16,427.0,0.017
26,642.0,0.013
43,1008.0,0.014
70,1825.0,0.016
113,2853.0,0.012
183,4714.0,0.015
298,7945.0,0.014
483,12680.0,0.02
785,20659.0,0.06
1274,33741.0,0.024
2069,54820.0,0.036
3360,89087.0,0.051
5456,144802.0,0.087
8859,235022.0,0.13
14384,381497.0,0.593
23357,619592.0,0.624
37927,1.006077e6,0.935
61585,1.633707e6,1.448
100000,2.652926e6,3.266
