n,optimum,elapsed
10,222.0,0.014
16,427.0,0.01
26,642.0,0.01
43,1008.0,0.01
70,1825.0,0.009
113,2853.0,0.009
183,4714.0,0.015
298,7945.0,0.024
483,12680.0,0.022
785,20659.0,0.033
1274,33741.0,0.071
2069,54820.0,0.095
3360,89087.0,0.151
5456,144802.0,0.306
8859,235022.0,0.569
14384,381497.0,0.771
23357,619592.0,1.279
37927,1.006077e6,2.496
61585,2.419812e6,61.24
100000,3.929411e6,N/A
