n,optimum,elapsed
10,314.0,0.018
16,556.0,0.018
26,792.0,0.024
40,1289.0,0.035
64,2213.0,0.032
100,3545.0,0.039
156,5697.0,0.058
248,8368.0,0.035
390,12942.0,0.107
618,20665.0,0.084
976,33877.0,0.106
1544,52890.0,0.283
2440,82520.0,0.303
3858,131330.0,0.633
6100,210662.0,0.905
9644,331551.0,2.886
15246,522557.0,3.054
24106,825502.0,9.639
38112,1.311417e6,25.471
60256,2.082577e6,60.076
