n,optimum,elapsed
10,314.0,0.015
16,556.0,0.015
26,792.0,0.02
40,1289.0,0.02
64,2213.0,0.028
100,3545.0,0.036
156,5697.0,0.037
248,8368.0,0.03
390,12942.0,0.249
618,20665.0,0.068
976,33877.0,0.099
1544,52890.0,0.307
2440,82520.0,0.298
3858,131330.0,0.516
6100,210662.0,1.115
9644,331551.0,3.076
15246,522557.0,2.692
24106,825502.0,8.751
38112,1.311417e6,25.452
60256,2.082577e6,62.532
