n,optimum,elapsed
10,314.0,0.025
16,556.0,0.025
26,792.0,0.019
40,1289.0,0.023
64,2213.0,0.019
100,3544.9999999999973,0.024
156,5697.0,0.037
248,8368.0,0.046
390,12942.0,0.104
618,20665.0,0.084
976,33877.0,0.174
1544,52890.0,0.64
2440,82520.0,0.45
3858,131330.0,1.069
6100,210662.0,1.98
9644,331551.0,6.094
15246,522557.0,12.296
24106,825502.0,76.958
38112,1.311417e6,387.812
60256,2.082577e6,N/A
