n,optimum,elapsed
10,314.0,0.01
16,556.0,0.01
26,792.0,0.014
40,1289.0,0.007
64,2213.0,0.015
100,3545.0,0.032
156,5697.0,0.033
248,8368.0,0.047
390,12942.0,0.042
618,20665.0,0.073
976,33877.0,0.071
1544,52890.0,0.176
2440,82520.0,0.305
3858,131330.0,0.92
6100,210662.0,1.754
9644,331551.0,5.992
15246,522557.0,6.617
24106,825502.0,31.143
38112,1.311417e6,35.239
60256,2.082577e6,115.36
